ID(time sequential),prolific_ID,"ismanual
(0 = optimizer-driven condition; 1 = manual condition)",variable_input,variable_bounds,objective_input,objectivebounds,objective_min/max,chosen_solution(the index of the solution user chose),"Is there more than one ""best solution"" displayed on the result page?","If you have to choose only one solution, which one of the ""best solutions"" will you choose? Please write the name of that solution.",Why did you choose that solution?,Can you describe your experience approaching the optimization task in this study?,We know the optimization task shall be under a diet scenario. But please describe the optimization task you specified in your own words.,Variable,Objective,Do you feel it difficult to specify the variables or objectives during the study?,Can you explain the reason for feeling difficult?,Categories_Why_Feel_Difficult,Satisfy_specify,Confidence_specify,Agency_specify,Why do you feel you are unsatisfied with your specification?,Why are you not confident that your specifications are reasonable for your optimization task?,Why do you feel not very involved in specifying?,Categories_low_ratings_specify,Can you describe your understanding towards the relationship between variables and objectives?,Do you think your objectives are logical for your variables?,Please explain why you don't think they are logical.,Satisfy_optimize,Confidence_optimize,Agency_optimize,Why do you feel you are unsatisfied with the optimization process?,Why do you feel you are not very confident for your optimization process?,Why do you feel you were not very involved in the optimization process?,Categories_low_ratings_optimize,Satisfy_result,Confidence_result,Agency_result,Why do you feel you are unsatisfied with the optimization results you got?,Why do you feel you are not very confident that the final result is optimal?,Why do you feel you were not very involved with getting the optimal result?,Categories_low_ratings_result,"When using our tool, were there any specific features that you wanted and are missing?",Please describe the features you want.,What steps were unclear to you? You can select multiple.:Tutorial,What steps were unclear to you? You can select multiple.:Specify,What steps were unclear to you? You can select multiple.:Optimize,What steps were unclear to you? You can select multiple.:Get results,"What steps were unclear to you? You can select multiple.:No, I feel all are very clear and easy to understand.",Can you tell more about the reason(s)?,Do you have any experience working with optimization problems?:I worked with optimization problems in design-related tasks.,Do you have any experience working with optimization problems?:I worked with optimization problems in engineering tasks.,Do you have any experience working with optimization problems?:I worked with optimization problems in science research.,Do you have any experience working with optimization problems?:I worked with optimization problems for financial-related scenarios.,Do you have any experience working with optimization problems?:Other (Please specify),"Do you have any experience working with optimization problems?:No, I don't have any experience.",Do you have any experience working with optimization problems?:Other (Please specify) Open text answers,"Then, can you briefly explain the optimization problem you worked with in your past experience?","Do you think you can use this tool to solve your optimization problem? If yes, please describe the variables and objectives. If not, please explain why you can't solve the optimization problem using this tool.",Categories_why_cant_use_this_tool_solve_their_problems,"Do you think you can use this tool to solve your optimization problem? If yes, please describe the variables and objectives. If not, please explain why you can't solve the optimization problem using this tool. Open text answers",Can you specify the variables and objectives for your optimization problem?:Variables,Can you specify the variables and objectives for your optimization problem?:Objectives,"Categories_of_specifications
(3 categories:
Reasonable;
Unreasonable: directly mapping;
overlaps;
Incomplete;
Not sure)","Can you come up with another example in your daily life or work (excluding diet and tutorial examples) where you could benefit from using this tool? If yes, please briefly describe the example. If you can't, please also explain why you find it challenging to come up with an example.","Can you come up with another example in your daily life or work (excluding diet and tutorial examples) where you could benefit from using this tool? If yes, please briefly describe the example. If you can't, please also explain why you find it challenging to come up with an example. Open text answers",Categories_why_cant_find_another_example,"Can you specify the ""Variables"" and ""Objectives"" for that example you came up with?","Categories_of_specifications
(
Reasonable - 1;
Unreasonable - 4: directly mapping;
overlaps;
Incomplete - 2
Not sure - 3)",Do you have more comments about this tool?,What's your educational background?,What's your educational background? Open text answers,Do you have any knowledge related to optimization algorithms in math or computer science?,Do you have any knowledge related to optimization algorithms in math or computer science? Open text answers
34,66805286ec5f99be20538b6e,0,"""calories consumed per meal/cal,healthiness of a meal/percent""","[100, 500, 0, 100]","""weight loss/kg,staying healthy/percent""","[0, 20, 0, 100]","['maximize', 'maximize']","""9""",Yes,Solution 10,It is great in both objectives. I am most satisfied with it.,I had a hard time understanding some things in tutorial but when i got to practical use of the tool i realized it's not that complicated.,I specified a task for optimizing a diet plan consisting of loosing at most 20 kilograms while also staying healthy in at most 100%. My variables were callories per meal (100-500 calories) and how healthy a meal is (0-100%).,"['calories consumed per meal', 'healthiness of a meal']","['weight loss', 'staying healthy']","Yes, specifying variables is difficult for me.","I'm not sure if my variable ""healthiness of a meal"" was correct. It might just be a wrong name for it. While setting an objective to stay healthy i also considered that not eating enough calories would negatively impact it. What i mean is- i didn't mean that only ""healthiness of a meal"" variable would impact my objective of staying healthy, which someone would think of that it does, because of very similar names. I just didn't know how to name it better.",Don't know how to summarize,5,6,6,,,,,The variables i specified seemed most reasonable for me. Objectives were taken from optimization scenario i was provided with.,Yes,,6,7,6,,,,,7,6,6,,,,,No,,Tutorial,,,,,"I assume the difficulties i had were caused by my inexperience in using this kind of tools. As i said before, once i got to practical use of the tool everything became clear and understandable for me.",,,,,,"No, I don't have any experience.",,,,,,,,,Yes,There are countless possibilities. The first thing that comes to my mind is optimizing studying. I might need to think about it some more to provide any better example.,,"For example, i would use variables such as time needed to study for something and quality of studying. My objectives would be not spending too much time studying and studying as much as possible.",1,,High school graduate,,No,
37,66c9ddd382b0fcfdd04bd919,1,"""Caloric Intake per day/kcal/day,Meal Frequency/meals/day,Physical Activity/days/week""","[500, 3000, 1, 7, 1, 7]","""Weight/kg,Time/min""","[50, 100, 30, 210]","['minimize', 'minimize']","""""",No,,,"It was an interesting experience. I am afraid that the variables and objectives I specified were not the more adequate for this task, as there are some other important factors playing a role there. Nevertheless, I think this contribution can still be helpful.","The optimization task I specified intended to find a diet that would allow me to stabilize at a healthy weight, using meal frequency (meals/day), caloric intake (cal/day) and physical activity (days/week) as variables; and the minimization of weight and time as objectives.","['Caloric Intake per day', 'Meal Frequency', 'Physical Activity']","['Weight', 'Time']","Yes, specifying objectives is difficult for me.","I think that a lot of factors play a role in our objectives. For example: I aimed to minimize the time spent preparing meals and working out for this optimal diet, but in fact the minimal time would not be so good, as it would imply that physical activity would be undermined.",Don't know how to summarize,6,6,4,,,,,I think those variables and objectives are the ones that are more aligned with my own personal experience.,I am not sure.,"With regard to the ""time"" minimization objective, I think it does not follow such a straight-forward logic.",5,5,6,,,,,6,6,6,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,,,,,,Very interesting tool! Certainly a lot of potencial.,MA degree,,No,
39,5e8a66381afb2c714058b57b,0,"""calorie consupmtion/per/day,exercise/day/week""","[1000, 3500, 0, 7]","""weight loss/kg,exhausted/day/week""","[0, 10, 0, 7]","['minimize', 'minimize']","""""",No,,,I was excited for it since I think I came up with good variables and objectives and wanted to see how the AI would recognize what is considered good.,I created a calories and exerices variables with weight loss and exhausted as objectives and wanted to minimize the exhaustion.,"['calorie consupmtion', 'exercise']","['weight loss', 'exhausted']","No, all are easy for me.",,,6,6,6,,,,,Seemed logical and reasonable also its something that I'm familiar with.,Yes,,5,5,5,,,,,6,5,5,,,,,Yes,Suggestion as variables/objectives for the given task.,,,,,"No, I feel all are very clear and easy to understand.",,,,,,Other (Please specify),,"I do play games that are focus on optimization (factories,cities,etc).",We wanted to lose as much weight as possible while not getting exhausted (proper amount of calorie consumption with proper amount of exercise).,Yes,,At first glance and with the given time i've had I it can be a very usefull tool to help me with optimization.,,,,,,,,,Nothing comes to my mind with the given time I've used the tool.,High school graduate,,No,
72,66bf53e2ef5b173ca081dc55,0,"""Calories per day/kcal,Number of Meals/Meals per Day""","[1000, 4000, 1, 5]","""Weight/Kg,Satisfaction""","[60, 90, 100, 1000]","['minimize', 'maximize']","""7""",Yes,Solution 8,It has the best overall value in terms of satisfaction while eating multiple somewhat calorically meals during the day.,"I found a little bit confusing at the start, but manage to understand as I was adding information and re-reading the tutorial.","The goal was to understand how satisfied would a person be under different diet plans, ingesting a good amount of calories divided during a wide or narrow range of meals for the day, and still lose some weight.","['Calories per day', 'Number of Meals']","['Weight', 'Satisfaction']","Yes, specifying objectives is difficult for me.","At first, It was difficult to understand my goals with the objectives.",Hard to come up with objectives,5,6,6,,,,,"To get a clear understanding of the overall optimization task, and also trying something a little complex.",Yes,,6,7,7,,,,,6,7,6,,,,,No,,Tutorial,,,,,"I found the tutorial a little bit confusing, but I do understand that its a complex matter to explain. Maybe a way to enter inputs while doing the tutorial could help.",I worked with optimization problems in design-related tasks.,,,,,,,"Optimization of the pipeline of design, managing time and deliveries according to schedule and production demands",Yes,,Its possible to work out how well a worker is doing in the pipeline and select to give tasks or help him.,,,,,,,,,"I do believe that the UI can have a huge impact in the understanding of the tool and usability, so its something important to work on.",BS degree,,No,
86,66d1df943ed08467e05c6a3a,0,"""Calories per day/kcal,Number of Meals/Meals per Day""","[1, 10, 500, 2000, 1, 5, 1, 15]","""Weight/kg,Halthiness,Happiness,Body Strength""","[50, 90, 1, 10, 1, 10, 1, 10]","['minimize', 'maximize', 'maximize', 'maximize']","""13""",Yes,Solution 14,"It has a high value of emotional state, while providing below average food intake.",Minimize the weight and maximize the happiness and other subjective factors.,"Lower weight while enjoying the process, gain body strength and have enough vitamins.","['Emotional State', 'Food intake', 'Vitamin intake', 'Jogging Distance']","['Weight', 'Halthiness', 'Happiness', 'Body Strength']","No, all are easy for me.",,,6,6,7,,,,,The variables are realistic in a diet I would do.,Yes,,4,7,7,,,,,6,5,6,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,I worked with optimization problems in engineering tasks.,I worked with optimization problems in science research.,I worked with optimization problems for financial-related scenarios.,,,,"Stock prediction, parameter optimization of all sort",No,Tool is not advanced enough,It is inferior to other tool i use,,,,Yes,Best amount of ingredients for a cuisine,,"Variables: amount of ingredients in kg for each ingredient
Objectives: Taste",1,,MA degree,,Yes (Please specify),In Engineering context
96,667034ee17a62a216f169b12,0,"""Calories Intake/cal,Protein Intake/g""","[800, 2000, 20, 200]","""Weight Loss/kg,Energy Levels,Health Risk""","[2, 20, 1, 10, 1, 10]","['maximize', 'maximize', 'minimize']","""5""",No,,,I wasn't sure if my evaluations are correct given the values I entered where the ones just from my experience and a bit of guessing. But nonetheless I tried to keep my evaluations consistent and overall the experience was rather good.,The task was to provide health risk free diet that focused on weight lose while also maintaining a high level of protein intake.,"['Calories Intake', 'Protein Intake']","['Weight Loss', 'Energy Levels', 'Health Risk']","No, all are easy for me.",,,5,5,6,,,,,"I was following a simple understanding of human need for calorie intake to maintain healthy energy levels as well as overall health, and protein was chosen specifically because it's the variable I know affects my personal health a lot hence I need to maintain a good level protein intake.",Yes,,5,4,7,,,,,5,5,6,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,I worked with optimization problems in design-related tasks.,,,,,,,"I am an artist so the optimization problems I face are related to when clients for example ask me for more detailed drawing with more objects and such, but I have limited time to work with so I need to maximize the appeal of a detailed drawing while minimizing time spend working on the details.",No,not a problem solved by values/ numbers,It's not strictly a problem where you can enter values and get a solution,,,,No,"I can't really come up with a good example because I think my work field is outside of this tools use case. As for daily life I feel like the tool is a bit to complicated to use for average person where there are already a lot of solutions for each scenario available, like dietary plans, workout routines and so on.",Sufficient existing solutions for optimiziton problems in daily life,,,,High school graduate,,No,
100,613bd3a683a2ac56a4119aa6,0,"""Calories income/cal/day,Food quality""","[1200, 2000, 1, 10]","""Weight loss/kg/month,Cost/pesos/month""","[1, 10, 2000, 5000]","['maximize', 'minimize']","""7""",Yes,Solution 8,Because the food quality was ok and it did have a very low calories intake,I did find it a little bit confusing and took me a while until I was happy with the options I came out with,I tried to find variables that helped me get a healthy diet and objectives that measured the diet's efficency and convenience,"['Calories income', 'Food quality']","['Weight loss', 'Cost']","Yes, both specifying variables and specifying objectives are difficult for me.",I found it confusing and think the examples were easier than the variables and objectives I have to invent for the task,Lack of understanding or familiarity with the task,6,6,6,,,,,"Variables are the ones that will give us the solutions, while objectives evaluate this variables",Yes,,7,7,7,,,,,7,7,7,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,No,I find it confusing and it takes a lot of time to me to come up with and identify which are the vairables and which are the objectives.,"Don't understand the optimization-related concept: variables, objectives",,,"I find the tool very clear, easy to use and usefull, what I find very difficult and tedious is to come up with the variables and the objectives, and also the tutorial",BS degree,,No,
103,5eb2a99596070102a65d32c7,0,"""Calory intake/kcal,Price/EURO""","[1500, 3500, 5, 20]","""KG lose/kg/week,Caloric deficit/kcal/day""","[0.2, 1, 100, 1000]","['maximize', 'maximize']","""7""",Yes,Solution 8,Because it has the lowest price pretty much.,"My experience was pretty good, AI was doing a good job there.",Losing weight using the lowest possible amount of money.,"['Calory intake', 'Price']","['KG lose', 'Caloric deficit']","Yes, specifying variables is difficult for me.",I did the wrong thing specifying variables with no correlation to objectives.,realizing the specifications can be improved after finishing the optimization,2,2,4,Because there was pretty much no correlation with variables to objectives.,Because there was pretty much no correlation with variables to objectives.,,"realizing the specifications can be improved after finishing the optimization
２",Variables should affect objectives.,No,Because price had no correlation to any of my objectives.,6,6,6,,,,,7,7,4,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,I worked with optimization problems in engineering tasks.,,,,,,Optimization of web design.,Yes,,,,,,,,,No idea really.,,,BS degree,,Yes (Please specify),learned at my actual job
105,66b093f0c1b703be1529d775,0,"""Number of dishes,Quality of products""","[1, 4, 0, 10]","""Cost/$,Tastefulness""","[1, 20, 0, 10]","['minimize', 'maximize']","""8""",Yes,Solution 9,I think it would be the one with more calorie deficit (more weight loss) and better taste at the same time,I think that overall is easy to use but maybe the topic was not the easiest. I am an engineer so I would have prefered something more like the example given of the materials.,I thought that the two most important variables of a diet is losing weight (quantity of food taken) and how easy is to stick to the diet so the flavours are also important.,"['Number of dishes', 'Quality of products']","['Cost', 'Tastefulness']","Yes, specifying variables is difficult for me.",The topic,Don't know how to summarize,4,5,5,,,,,The objectives are the goals to follow and the variables are the things we can change to achieve that goals.,Yes,,6,6,6,,,,,6,7,6,,,,,No,,,Specify,,,,Maybe I would like to select the objectives before choosing the variables.,,I worked with optimization problems in engineering tasks.,,,,,,Optimize fuel usage of an airplane by designing flying rutes that are shorter and best take advantage of winds.,No,Tool is not advanced enough:,I need more of an iterative tool I think but I may be wrong.,,,,Yes,"Sorting day-to-day activities by what is more important to do first, what is easier, etc",,"Variables: time, difficulty, importance
Objectives -> Focused in finishing first and also finishing the important stuff first",2,,BS degree,,Yes (Please specify),I've had some math and computing classes in college
112,65cf6d8a589a67afcab54e6f,0,"""Gain muscles mass/kg,Lose fat/kg""","[1, 10, 1, 10]","""Cost per day/euros,Meals per day""","[2, 10, 1, 5]","['minimize', 'minimize']","""""",No,,,The overall experience was good but I'd prefer it to require less effort.,"The optimisation task was about doing a diet but at the same time be healthy. Optimally, I'd like to gain muscle mass and lose fat and do that at the lowest cost possible and eating as less meals as possible.","['Gain muscles mass', 'Lose fat']","['Cost per day', 'Meals per day']","No, all are easy for me.",,,5,5,5,,,,,Variables are specific goals and objectives can help achieve the goals in the most optimal way.,Yes,,5,5,5,,,,,5,5,5,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,Keep a good work-life balance,,"Variables:
1) Working hours per day: 2-6

Objectives:
2) Income per day: 30-60",1,,BS degree,,No,
