ID,Solutionlist,Savedsolutions,Savedobjectives,parametername,parameterbounds,objectivebounds,objectivename,parameter_timestamp,objective_timestamp,prolific_ID,saved_timestamp,objectiveminmax,ismanual,taskdescription,chosen_solution,start_timestamp,tutorial,randomizerstatus,pass,tutorial_timestamp
1,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testnewsql,"""""","""""",1,"""""","""""","""2024-09-18 20:07:53""","""1""",1,0,"""2024-09-18 20:09:10"""
2,"""142,215,182,1741,96,26,45,569,52,162,151,1604,212,76,68,574,180,113,26,938,3,96,219,1284,76,178,86,206,133,30,113,2060,121,150,107,1212,61,57,135,1003,172,178,33,1074,82,73,168,1571,116,28,221,621,112,25,218,665,98,23,43,518,128,14,222,476,127,14,222,474,131,25,222,537,97,16,43,473,100,5,54,432""","""142,215,182,1741,96,26,45,569,52,162,151,1604,212,76,68,574,180,113,26,938,3,96,219,1284,76,178,86,206,133,30,113,2060,121,150,107,1212,61,57,135,1003,172,178,33,1074,116,28,221,621,112,25,218,665,98,23,43,518,128,14,222,476,127,14,222,474,131,25,222,537,97,16,43,473""","""44,55,3,2,44,44,33,33,55,55,55,55,55,55,55,55,55,55,55,55,22,22,22,22,33,333,33,33,22,22,33,33,55,555,99,99""","""sdfas,fasfdas,sdfas,asdf""","""2,222,2,222,2,222,22,2222""","""2,222,2,2222""","""dafsdfa,sdfas""","""2024-09-18 20:36:25""","""2024-09-18 20:36:27""",testsql2,"""2024-09-18 20:38:57""","""minimize,maximize""",0,"""""","""12""","""2024-09-18 20:10:03""","""1""",2,1,"""2024-09-18 20:10:24"""
3,"""208,23,76,142,108,108,88""","""208,23,76,142,108,108""","""444,333,44,55,44,55""","""sadf""","""2,222""","""2,2222""","""dasfda""","""2024-09-18 20:57:41""","""2024-09-18 20:57:43""",testsql3,"""2024-09-18 20:58:16""","""minimize""",0,"""""","""3""","""2024-09-18 20:40:50""","""1""",1,1,"""2024-09-18 20:41:11"""
4,"""3,4,5,3,4,3""","""3,4,5,3,4,3""","""2,33,5,3,44,44""","""dsfas""","""2,22""","""1,111""","""dfasdf""","""2024-09-18 20:59:49""","""2024-09-18 20:59:58""",ljoipnonjn,"""2024-09-18 21:00:39""","""maximize""",1,"""""","""5""","""2024-09-18 20:59:09""","""1""",2,1,"""2024-09-18 20:59:31"""
5,"""""","""""","""""","""""","""""","""""","""""","""""","""""",pajsdgawf99,"""""","""""",0,"""""","""""","""2024-09-18 21:06:58""","""1""",1,3,""""""
6,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testtutorial,"""""","""""",1,"""""","""""","""""","""""",2,3,""""""
7,"""""","""""","""""","""""","""""","""""","""""","""""","""""",616480e6749791ef8dcad5b3,"""""","""""",1,"""""","""""","""2024-09-18 21:15:20""","""2""",1,3,""""""
8,"""""","""""","""""","""""","""""","""""","""""","""2024-09-18 21:13:53""","""2024-09-18 21:14:59""",668d8e2396f2a2a972173626,"""""","""""",0,"""""","""""","""2024-09-18 21:10:56""","""1""",2,1,"""2024-09-18 21:12:12"""
9,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6012ed349807110d8eb941a6,"""""","""""",1,"""""","""""","""2024-09-18 21:12:25""","""1""",1,3,""""""
10,"""3,1,6,3,9,0,1,2,1,0,8,2,10,0,5,0,10,0,10,1,1,1,3,0,4,0,0,1,2,1,10,2,7,2,10,0,10,2,2,0,5,2,6,2""","""3,1,6,3,9,0,1,2,1,0,8,2,5,0,3,0,7,2,5,2""","""5,2,8,2,9,3,5,2,4,2,8,2,5,2,3,2,5,2,7,2""","""Nutrient dense food/-,Intermittent fasting/-""","""0,10,0,3""","""0,10,0,3""","""Losing weight,Staying healthy""","""2024-09-18 21:28:07""","""2024-09-18 21:29:42""",6141c6a098c8fd68da3f01f6,"""2024-09-18 21:35:45""","""maximize,maximize""",0,"""""","""""","""2024-09-18 21:11:58""","""1""",2,1,"""2024-09-18 21:20:21"""
